Date,Salinity (ppt),DissolvedOxygen (mg/L),pH,SecchiDepth (m),WaterDepth (m),WaterTemp (C),AirTemp (C)
15-05-2000,1,6.4,8.2,0.85,0.9,27,21.66666667
15-05-2000,1,,9.3,0.4,0.45,27,21.66666667
15-05-2000,1.5,7.6,9.7,4,4.5,30,21.66666667
30-05-2000,,,,,,,14.38888889
30-05-2000,1,,8,0.2,0.2,15,14.44444444
30-05-2000,0.5,7.9,8,0.5,0.5,15,14.44444444
30-05-2000,0,6.3,8.2,0.1,1.6,15,10
30-05-2000,0.5,,7.8,0.65,0.65,15,14.44444444
13-06-2000,1,8.2,9.5,0.4,0.4,28,22.77777778
13-06-2000,0,6.3,7.7,0.75,1.4,,26
13-06-2000,1,,8,0.45,0.55,27,22.22222222
13-06-2000,1,,8.6,0.15,0.4,27,22.22222222
13-06-2000,1.5,7.3,8.4,0.4,0.64,26,23.16666667
26-06-2000,0,,8.2,0.8,1.6,29,27
26-06-2000,1,8.3,8.8,0.05,0.1,30,28
26-06-2000,1,,8.8,0.5,0.5,29,28
